,CPU cores,CPU freq,CPU model,RAM,ROM,SIM cards,battery,brand,charging port,comments,front camera,model,month,price,rear camera,rear camera specs,resolution,screen material,screen size,weight,year
31497136240,,,其他,6GB,128GB,2个,其他,,Type-C,4700+,,play,6月,1899.00,,,596120,其他,6.3英寸,约176克（含电池）,2018年
100006344722,八核,2.0GHz,骁龙675,,,2个,4000,vivo,Type-C,9900+,1600万像素,X27,3月,2998.00,3个,1200万+1300万+500万像素,2340*1080,Super AMOLED,6.39 英寸,188.3,2019年
26642544050,四核+四核,0,骁龙430（MSM8937）,,,2个,0,华为（HUAWEI）,Micro USB,6200+,800万像素,0,3月,1399.00,2个,1300万+200万像素,1440*720,IPS,5.99英寸,0,2018年
16579563292,,,其他,,,1个,以官网信息为准,苹果（Apple）,Lightning（iPhone）,1.6万+,,iPhone 8 Plus,9月,4558.00,后置双摄,,596120,其他,5.5英寸,202,2017年
46030869599,八核,以官网信息为准,Helio P35,6GB,128GB,2个,3000mAh（typ）/2900mAh（min）,小米（MI）,Micro USB,200+,800万像素,小米play,12月,1399.00,2个,1200万+200万像素,2280x1080,其他,5.84英寸,150±5 g,2018年
100000469446,其他,其他,其他,其他,64GB,2个,以官网信息为准,Apple,Lightning（iPhone）,3.4万+,700万像素,iPhone XS Max,9月,9998.00,2个,双1200万像素,2688*1242,OLED,6.5英寸,208,2018年
100003765561,八核,2.0GHz,骁龙675,,,2个,4000,vivo,Type-C,1.3万+,1600万像素,X27,3月,2998.00,3个,1200万+1300万+500万像素,2340*1080,Super AMOLED,6.39 英寸,188.3,2019年
36332771137,,,麒麟980,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,2100+,,Mate 20,10月,3699.00,后置三摄,,683887,TFT,6.53英寸,约188克（含电池）,2018年
51489272575,,,骁龙710,,,2个,4030mAh,小米（MI）,Type-C,0,,小米CC,7月,1999.00,后置三摄,,697416,AMOLED,6.39 英寸,179,2019年
15076826576,,,骁龙435（MSM8940）,4GB,64GB,2个,4000mAh（典型值）,,Micro USB,6200+,,畅享7plus,以官网信息为准,999.00,,,1280×720,其他,5.5英寸,约165g（含电池）,2017年
50849814760,,,骁龙710,,,2个,4030mAh,小米（MI）,Type-C,0,,小米CC美图定制版,7月,2699.00,后置三摄,,2340*1080,AMOLED,6.39 英寸,179,2019年
41791092391,,,其他,,,2个,3020以官网信息为准,华为（HUAWEI）,Micro USB,1200+,,荣耀畅玩7,5月,473.00,后置单摄,,655599,其他,5.45英寸,142以官网信息为准,2018年
100003034371,八核,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,麒麟980,8GB,256GB,2个,3650mAh（典型值）备注：电池额定容量为 3550mAh,华为（HUAWEI）,Type-C,6200+,3200万像素,HUAWEI P30,4月,4988.00,3个,4000+1600+800万像素,2340*1080,OLED,6.1英寸,165,2019年
46183752413,,,骁龙710,,,2个,4000,vivo,Type-C,600+,,X27Pro,4月,3998.00,后置三摄,,其他,AMOLED,6.7英寸,208,2019年
16579983417,,,其他,,,1个,以官网信息为准,苹果（Apple）,Lightning（iPhone）,1.1万+,,iPhone X,11月,6188.00,后置双摄,,652742,其他,5.8英寸,174,2017年
16291127707,四核,0,mt6735,2GB,16GB,2个,0,华为（HUAWEI）,Micro USB,5200+,500万像素,0,5月,498.00,1个,1300万像素,1440*720,IPS,5.45英寸,0,2018年
50876374327,,,骁龙710,,,2个,4030mAh,,Type-C,10+,,以官网详情为准,7月,1799.00,后置三摄,,697416,AMOLED,6.39 英寸,179,2019年
100005883270,八核,-,710,4GB,64GB,2个,3210,魅族（MEIZU）,Type-C,1.8万+,2000万像素,魅族X8,9月,1298.00,2个,1200+500万像素,2220 x 1080,LCD,6.2英寸,160,2018年
42957765902,,,骁龙675,,,2个,4000,魅族（MEIZU）,Type-C,1700+,,魅族Note9,3月,1268.00,后置双摄,,2244*1080,其他,6.2英寸,169.7,2019年
26127980066,,,骁龙632,4GB,32GB,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,6000+,,荣耀畅玩8C,10月,849.00,,,699383,IPS,6.26英寸,167.2g,2018年
44498214139,,,骁龙855,,,2个,3300mAh(typ) / 3200mAh (m,,Type-C,900+,,小米9,2月,3149.00,后置三摄,,697416,AMOLED,6.39 英寸,173g,2019年
10673889493,其他,以官网信息为准,其他,其他,其他,1个,2910,苹果（Apple）,其他,7500+,700万像素,iphone7plus,以官网信息为准,4178.00,2个,双1200万像素,其他,其他,5.5英寸,188,2016年
51378273258,,,其他,,,其他,4030,,其它接口,3,,以官网为准,以官网信息为准,2099.00,后置三摄,,754689,AMOLED,6.39 英寸,179,2019年
43299934722,八核,以官网信息为准,--,6GB,128GB,2个,3340mAh（典型值）,华为（HUAWEI）,其他,50+,其他,nova 4e,3月,1999.90,3个,2400万+800万+200万像素,2312*1080,IPS,6.15英寸,约159克（含电池）,2019年
51487986953,,,骁龙710,,,其他,4030mAh,小米（MI）,Type-C,0,,CC9,7月,2129.00,后置三摄,,683887,其他,6.39 英寸,179,2019年
50863280256,,,骁龙710,,,2个,4030（typ）/ 3940（min）,小米（MI）,Type-C,20+,,CC9,7月,1999.80,后置三摄,,1080 x 2340 FHD + ,AMOLED,6.39 英寸,179,2019年
36862109562,,,麒麟710,其他,其他,2个,3400mAh（典型值）,华为（HUAWEI）,Micro USB,1200+,,荣耀10青春版,11月,1069.00,,,596120,IPS,6.21英寸,约162克（含电池,2018年
6072395,单核,260MHZ,SC6531E,其他,其他,2个,800,天语（K-Touch）,Micro USB,3.3万+,无,Q21,6月,79.00,无,无,240*320以下,TFT,1.8英寸,85,2018年
50844786026,,,麒麟710,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 5i,6月,1999.00,后置四摄,,737156,TFT LCD（IPS）,6.4英寸,178,2019年
20045439283,,,麒麟980,8GB,128GB,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,2000+,,Mate20 Pro,10月,5099.00,,,596120,OLED,6.39 英寸,约189克,2018年
5619586,单核,0.26,其他,其他,其他,2个,1000,天语（K-Touch）,Micro USB,2.3万+,无,T91,以官网信息为准,169.00,1个,8万像素,240*320,TFT,2.4英寸,84,2018年
50658865063,,,麒麟710,6GB,128GB,2个,4000mAh（典型值）,,Type-C,30+,,nova 5i,6月,1999.60,,,737156,LTPS,6.4英寸,178,2019年
50864285312,,,骁龙665,,,2个,4030（typ）/ 3940（min）,小米（MI）,Type-C,1,,CC9e,7月,1599.80,后置三摄,,748370,AMOLED,6.088英寸,173.8,2019年
51614902083,,,骁龙710,,,其他,4030mAh,小米（MI）,Type-C,0,,小米CC,7月,1799.00,后置双摄,,697416,AMOLED,6.39 英寸,179,2019年
32373824009,,,骁龙450,,,2个,4230mAh（典型值）,OPPO,Micro USB,1.1万+,,A5,9月,799.00,后置双摄,,699383,TFT,6.2英寸,168,2018年
50615556890,,,骁龙710,,,2个,4030mAh（typ）,小米（MI）,Type-C,10+,,小米CC,6月,1999.00,后置三摄,,697416,AMOLED,6.39 英寸,约179,2019年
51519590886,,,骁龙710,,,2个,4030mAh,,Type-C,0,,小米CC,7月,1799.00,后置三摄,,2340×1080,其他,6.39英寸,179,2019年
43152274156,,,,,,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,700+,,nova 4e,3月,1999.88,,,746545,LTPS,6.15英寸,约159克（含电池）,2019年
11265588270,四核,以官网信息为准,其他,3GB,32GB,2个,0,小米（MI）,Micro USB,8900+,500万像素,0,6月,608.00,1个,1300万像素,1440*720,其他,5.45英寸,0,2018年
7293054,八核,2.8,骁龙 845,6GB,128GB,2个,3600,锤子（smartisan）,Type-C,8.4万+,2400万像素,坚果 R1,5月,2299.00,2个,2000+1200万像素,2240*1080,LCD,6.17,170,2018年
51510408321,,,其他,,,2个,以官网信息为准,,Type-C,0,,以官网信息为准,7月,1999.00,后置三摄,,697416,其他,6.39英寸,以官网信息为准,2019年
4270047,单核,312MHz,其他,其他,其他,1个,800,天语（K-Touch）,Micro USB,2.1万+,无,E2,11月,149.00,1个,8万像素,240*320,TFT,2.4英寸,63,2018年
51348661202,八核,2×Cortex A76 2.6GHz,麒麟980,,,2个,3500mAh（典型值）,,Type-C,0,3200万像素,nova 5 Pro,6月,3399.90,4个,4800万+1600万+200万+200万像素,2340×1080,OLED,6.39 英寸,约171克（含电池）,2019年
40049427226,,,麒麟710F,,,2个,4000mAh(典型值）,,Type-C,1700+,,畅享9 Plus,10月,1499.00,后置双摄,,697416,TFT,6.5英寸,约173g(含电池),2018年
34206264483,,,骁龙660（MSM8976Plus）,6GB,64GB,2个,3600mAh（典型值）（额定值3500mAh）,OPPO,Micro USB,4600+,,K1,10月,1399.00,,,697416,OLED,6.4英寸,156,2018年
51492740378,,,骁龙710,,,其他,4030mAh,小米（MI）,Type-C,2,,小米CC,7月,1999.00,后置三摄,,754689,AMOLED,6.39英寸,179,2019年
30535274961,,,其他,2GB,32GB,2个,3020mAh(典型值）,华为（HUAWEI）,Micro USB,2600+,,畅享8e青春版,6月,555.00,,,655599,其他,,约142g(含电池) ,2018年
51682230948,,,其他,,,2个,以官网信息为准,,Type-C,0,,小米C99,7月,1799.00,后置三摄,,754689,其他,6.39英寸, 179,2019年
100000309426,其他,其他,其他,其他,256GB,1个,以官网信息为准,Apple,Lightning（iPhone）,2.9万+,700万像素,iPhone XS,9月,11898.00,2个,双1200万像素,2436×1125,OLED,5.8英寸,177,2018年
100003884767,,,骁龙665,,,2个,4030mAh,小米（MI）,Type-C,0,,小米CC9e,7月,1399.00,后置三摄,,1560 x 720,AMOLED,6.088英寸,173.8,2019年
100003291843,单核,无,其他,其他,其他,2个,3000,,Micro USB,6700+,无,E288,5月,226.00,1个,30万像素,240*320,TFT,2.4英寸,142,2019年
44227016765,,,骁龙450,4GB,64GB,2个,4000mAh（典型值）,华为（HUAWEI）,Micro USB,100+,,畅享9,12月,1199.00,,,699383,TFT,6.26英寸,约168克（含电池）,2018年
49479669531,,,骁龙710,6GB,64GB,2个,3765mAh（典型值）,,Type-C,200+,,K3,6月,1599.00,,,754689,AMOLED,6.5英寸,191,2019年
35606231780,,,骁龙660（AIE）,4GB,64GB,2个,3600mAh（典型值）,OPPO,Micro USB,400+,,K1,10月,1199.00,,,697416,OLED,6.4英寸,约156g,2018年
31217450772,,,其他,,,2个,3120(typ) / 3020(min),小米（MI）,Type-C,5800+,,8SE,5月,暂无报价,后置双摄,,其他,AMOLED,其他英寸,164,2018年
17214983886,四核,1.4GHz,骁龙425（MSM8917）,3GB,32GB,2个,3020mAh(典型值),华为（HUAWEI）,Micro USB,1700+,500万像素,-,以官网信息为准,799.00,1个,1300万像素,其他,其他,5.0英寸,约145g（含电池）,2017年
7407136,四核,1.5GHz,MT6739,3GB,32GB,2个,4000mAh,联想（lenovo）,Micro USB,1.9万+,800万像素,Lenovo A5,7月,548.00,1个,1300万像素,1440*720,IPS,5.45英寸,160,2018年
45496269669,,,其他,2GB,16GB,2个,3020,,Micro USB,400+,,荣耀畅玩7,以官网信息为准,463.00,,,655599,IPS,,142,2018年
37348371902,,,麒麟710,其他,其他,其他,3400mAh（典型值）,,Micro USB,2300+,,以官网信息为准,以官网信息为准,1095.00,,,697416,其他,6.21英寸,以官网信息为准,2018年
46446784476,,,MT6765,,,2个,3020mAh（典型值）,华为（HUAWEI）,Micro USB,300+,,荣耀畅玩8A,1月,635.00,后置单摄,,596120,IPS,6.088英寸,约150克（含电池） 备注：实际重量依配置、制造工,2019年
50709756407,,,麒麟710,6GB,128GB,2个,4000mAh(典型值),华为（HUAWEI）,Type-C,20+,,nova 5i,6月,1999.00,,,2310*1080,LTPS,6.4英寸,178,2019年
51081717625,,,骁龙632,,,2个,4000mAh（典型值） 3900mAh（最小值）,,Micro USB,900+,,荣耀畅玩8C,10月,958.00,后置双摄,,699383,IPS,6.26英寸,167.2g,2018年
38277976304,,,其他,,,2个,3400mAh（典型值）,华为（HUAWEI）,Micro USB,2400+,,荣耀10青春版,以官网信息为准,1599.20,后置双摄,,其他,其他,6.21英寸,约162克（含电池）,2018年
51206321819,,,麒麟980,,,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,100+,,Mate 20 Pro ,10月,4499.00,,,729589,OLED,6.39 英寸,约189克（含电池）,2018年
51143063426,,,其他,,,2个,3750mAh（典型值）,,Micro USB,500+,,荣耀8X,9月,1468.00,后置双摄,,754689,IPS,6.5英寸,约175克,2018年
51419330427,,,其他,,,其他,其他,华为（HUAWEI）,其它接口,10+,,畅玩8,7月,暂无报价,后置单摄,,596120,其他,其他英寸,1,2019年
51602164236,,,麒麟980,,,2个,4200,华为（HUAWEI）,Type-C,0,,HUAWEI P30 Pro,4月,5488.00,后置四摄,,697416,OLED,6.47英寸,192,2019年
50787986668,八核,以官网信息为准,麒麟710,8GB,128GB,2个,4000,华为（HUAWEI）,Type-C,1,2400万像素,华为 nova5i·,6月,2199.00,4个,2400万+800万+200万+200万像素,2310*1080,LTPS,6.4英寸,178,2019年
50793468415,,,麒麟980,,,2个,3750mAh（典型值）,,Type-C,0,,荣耀20,6月,2999.00,后置四摄,,697416,TFT LCD（IPS）,6.26英寸,约174g,2019年
50706975611,八核 + 微智核i6,以官网信息为准,麒麟710,6GB,128GB,2个,3400mAh(典型值),,其他,0,800万像素,麦芒8,6月,1899.80,3个,2400万+1600万+200万像素,2340×1080,TFT LCD（IPS）,6.21英寸,约160,2019年
50616052563,,,其他,,,2个,3750mAh（典型值）,华为（HUAWEI）,Type-C,3,,华为nova 4,以官网信息为准,2499.00,后置三摄,,2310*1080,其他,6.4英寸,约172,2019年
51771440724,,,麒麟710,,,2个,3400mAh（典型值）,华为（HUAWEI）,Micro USB,0,,荣耀10青春版,11月,1699.00,后置双摄,,以官网信息为准,IPS,6.21英寸,约162克（含电池）,2018年
50702765049,八核 + 微智核i6,2.2GHz + 1.7GHz,--,4GB,64GB,2个,3400mAh(典型值),,其他,0,2400万像素,荣耀10青春版,11月,1068.00,2个,1300+200万像素,2340*1080,IPS,6.21英寸,约162克,2018年
50657966913,,,麒麟710,,,2个,3750mAh(典型值),,Micro USB,0,,荣耀8X,9月,1199.00,后置双摄,,其他,IPS,6.5英寸,175,2018年
51767414776,,,其他,,,2个,4000,华为（HUAWEI）,Micro USB,0,,畅享9 Plus,10月,1588.00,后置双摄,,2340*1080,TFT,6.5英寸,173,2018年
51691659810,,,麒麟980,,,2个,5000,华为（HUAWEI）,Type-C,0,,Mate 20 X,10月,3688.00,后置三摄,,2240*1080,OLED,7.2英寸,232,2018年
50833744696,,,麒麟710,6GB,128GB,2个,4000mAh(典型值),华为（HUAWEI）,Type-C,0,,nova 5i,6月,1999.00,,,737156,LTPS,6.4英寸,178,2019年
51676417647,,,麒麟980,,,2个,3650mAh,,Type-C,0,,-,3月,4358.00,后置三摄,,744404,OLED,6.1英寸,165,2019年
51178456173,八核,2.0GHz>，1.7GHz>,麒麟710,6GB,128GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,0,2400万像素,nova 5i,6月,1999.00,4个,2400万+800万+200万+200万像素,2310*1080,LTPS,6.4英寸,178g,2019年
51070802755,,,麒麟980,8GB,128GB,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,0,,华为Nova5pro,6月,2999.00,,,697416,OLED,6.39 英寸,约171克（含电池）,2019年
51594073012,,,其他,,,其他,-,,其它接口,0,,-,7月,9999.00,无后置摄像头,,其他,其他,5.65英寸,-,2019年
50842873886,四核,以官网信息为准,其他,1GB,4GB,1个,2300,,Micro USB,2,200万像素,G730-L075,以官网信息为准,299.00,1个,500万像素,960*540,其他,5.5英寸,以官网信息为准,2014年
51553758907,,,麒麟980,,,2个,3750,华为（HUAWEI）,Type-C,0,,荣耀20,6月,2999.00,后置四摄,,697416,TFT LCD（IPS）,6.26英寸,174,2019年
51130910545,八核,1.1,骁龙435（MSM8940）,4GB,64GB,2个,4000,,Micro USB,0,800万像素,畅享7plus,4月,848.00,1个,1200万像素,1280×720,IPS,5.5英寸,165,2017年
50690964529,,,,其他,其他,2个,3750mAh（典型值）,,Type-C,2,,华为nova 4,12月,2499.00,,,737156,LCD,6.4英寸,172,2018年
50696562411,,,麒麟980,,,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,3,,nova 5 Pro,以官网信息为准,3399.20,后置四摄,,754689,其他,6.39英寸,约171克（含电池）,2019年
51709699055,,,麒麟980,,,2个,4200mAh,,Type-C,0,,-,3月,5488.00,后置四摄,,2340×1080,OLED曲面屏,6.47英寸,192,2019年
51155269854,八核,其他,麒麟710F,8GB,128GB,2个,4000,华为（HUAWEI）,Micro USB,0,2400万像素,nova 5i,6月,2199.00,4个,2400万+800万+200万+200万像素,2312*1080,TFT LCD（IPS）,6.41英寸,178,2019年
51610590142,,,其他,,,2个,3400,华为（HUAWEI）,Micro USB,0,,麦芒 8,6月,1766.00,后置三摄,,2340*1080,TFT LCD（IPS）,6.21英寸,160,2019年
50621978539,,,麒麟710,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 5i,6月,2199.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
51392984069,八核,4 Cortex-A73 2.2GHz+4 Cor,麒麟710,,,2个,4000mAh（典型值）,,Type-C,0,2400万像素,华为nova5i,6月,2199.00,4个,2400万+800万+200万+200万像素,2310*1080,LTPS,6.4英寸,178,2019年
51160504366,,,麒麟710,,,2个,3400mAh（典型值）,,Micro USB,100+,,荣耀10青春版,11月,1458.00,,,596120,IPS,6.21英寸,约162克,2018年
51050845966,八核,2×Cortex-A76 Based 2.6GHz,其他,8GB,256GB,2个,3750mAh（典型值）,华为（HUAWEI）,Type-C,0,3200万像素,荣耀20,6月,2999.00,4个,4800万+1600万+200万像素,2340*1080,TFT LCD（IPS）,6.28英寸,约174g,2019年
51227656232,,,其他,,,2个,5000mAh（典型值） 4900mAh（最小值）,,Micro USB,200+,,荣耀8X Max,9月,1518.00,后置双摄,,596120,IPS,其他英寸,约210克,2018年
50680590874,,,其他,,,2个,以官网信息为准,华为（HUAWEI）,Type-C,0,,以官网信息为准,7月,9999.00,后置四摄,,596120,其他,6.47英寸,约171克（含电池）,2019年
50594896487,八核,以官网信息为准,其他,3GB,32GB,2个,3020,华为（HUAWEI）,Micro USB,0,其他,畅享6s,以官网信息为准,799.00,1个,500万像素,其他,其他,5.0英寸, 138,2016年
51339943436,,,骁龙710,4GB,128GB,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 4e,3月,1799.00,,,746545,LTPS,6.15英寸,约159克（含电池）,2019年
51147093530,八核,以官网信息为准,骁龙710,6GB,128GB,2个,3340,华为（HUAWEI）,Type-C,0,3200万像素,nova4e,3月,1999.00,3个,2400万+800万+200万像素,2310*1080,LTPS,6.15英寸,约159克（含电池）,2019年
51058439609,八核,以官网信息为准,其他,8GB,128GB,2个,3500mAh（典型值）,,Type-C,0,3200万像素,nova 5 Pro,6月,2999.20,4个,4800万+1600万+200万+200万像素,2340×1080,OLED,6.39英寸,约171克（含电池）,2019年
51080366828,八核, 4×Cortex-A73 2.2GHz+4×Co,其他,6GB,128GB,2个,4000mAh,,Type-C,5,2400万像素,nova5I,6月,1999.00,4个,2400万+800万+200万+200万像素,2310*1080,其他,6.4英寸, 178,2019年
51006954536,,,其他,,,2个,3400,,Micro USB,0,,麦芒 8,6月,1899.00,后置三摄,,697416,TFT LCD（IPS）,6.21英寸,约160g,2019年
50916150827,八核,请以官网数据为准,麒麟710,6GB,128GB,2个,3400,华为（HUAWEI）,Micro USB,0,800万像素,麦芒8,6月,1889.00,3个,2400万+1600万+200万像素,2340*1080,AMOLED,6.21英寸,160,2019年
51742652436,,,其他,,,其他,以官网信息为准,,其它接口,0,,以官网信息为准,以官网信息为准,9999.00,无后置摄像头,,以官网信息为准,其他,其他英寸,以官网信息为准,2019年
50956869093,八核 + 微智核i6,其他,麒麟710,其他,其他,2个,3400mAh(典型值),,其他,0,2400万像素,荣耀10青春版,11月,1699.00,2个,1300+200万像素,其他,IPS,6.21英寸,约162克(含电池,2018年
51502267464,,,其他,,,2个,以官网信息为准,,其它接口,0,,荣耀9X,以官网信息为准,9998.00,无后置摄像头,,其他,其他,其他英寸,以官网信息为准,2019年
51442526607,,,其他,,,其他,以官网信息为准,,,0,,以官网信息为准,以官网信息为准,9998.00,后置单摄,,其他,其他,,以官网信息为准,2019年
50598236167,,,其他,8GB,256GB,其他,以官网信息为准,,,0,,nova 5 Pro,6月,3399.00,,,596120,其他,,1,2019年
51247867814,,,麒麟980,,,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 5 Pro,6月,3399.00,后置四摄,,2340×1080,OLED,6.39英寸,约171克（含电池）,2019年
50645404316,,,其他,,,其他,以官网信息为准,,其它接口,0,,以官网信息为准,7月,9999.99,无后置摄像头,,其他,其他,其他英寸,以官网信息为准,2019年
51550800420,,,麒麟980,,,2个,4000,,Type-C,0,,荣耀V20,12月,2558.00,后置双摄,,2310*1080,IPS,6.4英寸,180,2018年
50983098329,,,,其他,其他,2个,3400mAh,,Type-C,0,2400万像素,荣耀10,以官网信息为准,1999.00,,2400万+1600万像素,2280x1080,IPS,5.84英寸,约153克（含电池）,2018年
51001068235,八核,2×Cortex-A76 Based 2.6GHz,麒麟980,8GB,256GB,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,0,3200万像素,荣耀20PRO,6月,3499.00,4个,4800万+1600万+800万+200万像素,2340×1080,TFT LCD（IPS）,6.26英寸,182g,2019年
51145322693,八核,4×Cortex-A73 2.2GHz+4×Cor,麒麟710,,,2个,3340mAh（典型值）,华为（HUAWEI）,Type-C,2,3200万像素,Nova4e,3月,1799.00,3个,2400万+800万+200万像素,2340×1080,LTPS,6.15英寸,约159克（含电池）,2019年
51147000807,,,麒麟980,,,2个,3750mAh（典型值）,,Type-C,0,,荣耀20,6月,2999.00,后置四摄,,754689,TFT LCD（IPS）,6.26英寸,约174g,2019年
50957065316,,,麒麟710,,,2个,3750mAh(典型值),,Micro USB,0,,荣耀8X,9月,1529.00,后置双摄,,697416,IPS,6.5英寸,约175克(含电池),2018年
51711789322,,,麒麟710,,,2个,4000,,Type-C,0,,nova 5i,6月,2199.00,后置四摄,,2310*1080,LTPS,6.4英寸,178,2019年
51608912933,,,其他,,,2个,4000,华为（HUAWEI）,Type-C,0,,P20 Pro,4月,3688.00,后置三摄,,2240*1080,OLED,6.1英寸,180,2018年
50637473545,,,麒麟980,其他,其他,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,5,,nova 5 Pro,6月,2999.00,,,697416,OLED,6.39英寸,约171克（含电池）,2019年
51591473892,,,麒麟710,,,其他,3400mAh,华为（HUAWEI）,Micro USB,0,,畅享9S,3月,1238.00,后置三摄,,697416,TFT LCD（IPS）,6.21英寸,约160g（实际重量依配置、制造工艺、测量方法的不,2019年
51068099490,,,麒麟980,8GB,128GB,2个,3500mAh,,Type-C,0,,V20,12月,2999.00,,,2340×1080,AMOLED,6.39英寸,0,2018年
51301733179,,,其他,,,2个,3020mAh（典型值）,华为（HUAWEI）,Micro USB,0,,荣耀畅玩8,7月,1099.00,后置单摄,,以官网信息为准,其他,其他英寸,约146克（含电池,2019年
51342134228,,,麒麟980,,,2个,以官网信息为准,华为（HUAWEI）,Type-C,100+,,Mate 20,10月,3199.00,后置三摄,,683887,TFT,6.53英寸,约188克（含电池）,2018年
51234581309,,,其他,,,2个,5000mAh（典型值） 4900mAh（额定值）,,Type-C,90+,,荣耀Note10,8月,1878.00,后置双摄,,596120,AMOLED,6.9英寸,约230克,2018年
51335314535,,,麒麟980,,,2个,3650mAh（典型值）,华为（HUAWEI）,Type-C,0,,HUAWEI P30,4月,4288.00,后置三摄,,754689,OLED,6.1英寸,165,2019年
51718645293,,,骁龙710,,,2个,4000mAh（典型值） .,华为（HUAWEI）,Type-C,0,,nova 5i,6月,2199.00,后置四摄,,--,LTPS,6.4英寸,178,2019年
50636736503,,,骁龙710,,,2个,4000,华为（HUAWEI）,Type-C,1,,Nova 5i,6月,1999.00,后置四摄,,FHD+（2310*1080）,TFT LCD（IPS）,6.4英寸,178,2019年
51192000674,,,麒麟980,,,2个,4000mAh（典型值）,,Type-C,0,,荣耀20PRO,6月,3499.00,后置四摄,,754689,TFT LCD（IPS）,6.26英寸,182g,2019年
51114573378,八核, 2×Cortex A76 2.6GHz+2×Co,麒麟980,8GB,128GB,2个,3500mAh,,Type-C,1,3200万像素,nova5Pro,6月,2999.00,4个,4800万+1600万+200万+200万像素,2340*1080,其他,6.39英寸, 约171克（含电池）,2019年
51153248867,八核,以官网信息为准,其他,6GB,128GB,2个,以官网信息为准,华为（HUAWEI）,Type-C,0,2000万像素,华为荣耀9X,7月,9999.00,2个,2000万+1600万像素,2240*1080,AMOLED,6.15英寸,以官网信息为准,2019年
51355675717,,,麒麟710,,,2个,4000mAh（典型值）,,Type-C,0,,nova 5i,6月,2199.90,后置三摄,,737156,LTPS,6.4英寸,178,2019年
51387076362,其他,以官网信息为准,其他,,,其他,以官网信息为准,,其他,0,其他,以官网信息为准,以官网信息为准,9999.00,,其他,其他,其他,其他,以官网信息为准,2019年
51529580051,,,麒麟980,,,2个,4000mAh（典型值）,,Type-C,0,,荣耀V20,3月,2899.00,后置双摄,,2310*1080,IPS,6.4英寸,约180克（含电池）,2019年
51593765542,,,麒麟980,,,2个,4000,,Type-C,0,,荣耀20PRO,6月,3199.00,后置四摄,,754689,TFT LCD（IPS）,6.26英寸,182,2019年
51126020942,八核,1.8-2.6,麒麟980,8GB,256GB,2个,3500,华为（HUAWEI）,Type-C,0,3200万像素,Nova5pro,6月,3699.00,4个,4800万+1600万+200万+200万像素,2340*1080,OLED,6.39英寸,171,2019年
51554510221,,,麒麟980,,,2个,3500,,Type-C,0,,nova 5 Pro,6月,2988.00,后置四摄,,2340*1080,OLED,6.39英寸,171,2019年
50950306033,,,麒麟980,,,2个,4200mAh（典型值）,华为（HUAWEI）,Type-C,0,,Mate20 Pro,10月,5499.00,,,596120,OLED,6.39 英寸,约189克,2018年
51500688809,,,其他,,,其他,其他,,其它接口,0,其他,荣耀9XPro,7月,9999.00,无后置摄像头,其他,其他,其他,其他英寸,1,2019年
51338630433,,,,8GB,128GB,2个,以官网信息为准,华为（HUAWEI）,Type-C,10+,,HUAWEI nova 4,12月,2799.00,,,737156,LCD,6.4英寸, 7.77,2018年
50835872521,,,其他,其他,其他,2个,3400（典型值）,华为（HUAWEI）,Micro USB,0,,麦芒 8,6月,1899.00,,,754689,TFT LCD（IPS）,6.21英寸,160,2019年
51271087202,,,MT6765,3GB,64GB,2个,3020mAh（典型值）,华为（HUAWEI）,Micro USB,0,,畅享9e,4月,999.00,,,1560*720,TFT LCD（IPS）,6.088英寸,150,2019年
51446629929,其他,其他,其他,,,其他,其他,华为（HUAWEI）,其他,0,其他,荣耀9X,7月,9999.00,无后置摄像头,其他,其他,其他,其他,1,2019年
51126979098,,,其他,,,2个,4000mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 5i,6月,1999.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
51530626300,,,麒麟980,,,其他,3500mAh（典型值）,,Type-C,0,,nova 5 Pro,6月,3399.00,后置四摄,,2340×1080,OLED,6.39英寸,约171克（含电池）,2019年
51134875242,,,麒麟710,,,2个,以官网信息为准,华为（HUAWEI）,Type-C,1,,nova 5i,6月,2199.00,后置四摄,,737156,LTPS,6.4英寸,178,2019年
51441154718,,,麒麟980,,,2个,3500mAh（典型值）,华为（HUAWEI）,Type-C,0,,nova 5 Pro,6月,3399.00,后置四摄,,697416,OLED,6.39 英寸,约171克（含电池）,2019年
